interest_rate,rate_shock_bp,occupancy_multiplier,net_cashflow,dscr
0.05,0.0,0.0,-0.05,0.0
0.052500000000000005,25.0,0.0,-0.052500000000000005,0.0
0.055,50.0,0.0,-0.055,0.0
0.0575,75.0,0.0,-0.0575,0.0
0.060000000000000005,100.0,0.0,-0.060000000000000005,0.0
0.0625,125.0,0.0,-0.0625,0.0
0.065,150.0,0.0,-0.065,0.0
0.0675,175.0,0.0,-0.0675,0.0
0.07,200.0,0.0,-0.07,0.0
0.07250000000000001,225.0,0.0,-0.07250000000000001,0.0
0.07500000000000001,250.0,0.0,-0.07500000000000001,0.0
0.0775,275.0,0.0,-0.0775,0.0
0.08,300.0,0.0,-0.08,0.0
0.05,0.0,0.02,-0.034,0.32
0.052500000000000005,25.0,0.02,-0.036500000000000005,0.30476190476190473
0.055,50.0,0.02,-0.039,0.2909090909090909
0.0575,75.0,0.02,-0.0415,0.2782608695652174
0.060000000000000005,100.0,0.02,-0.044000000000000004,0.26666666666666666
0.0625,125.0,0.02,-0.0465,0.256
0.065,150.0,0.02,-0.049,0.24615384615384614
0.0675,175.0,0.02,-0.051500000000000004,0.23703703703703702
0.07,200.0,0.02,-0.054000000000000006,0.22857142857142856
0.07250000000000001,225.0,0.02,-0.05650000000000001,0.22068965517241376
0.07500000000000001,250.0,0.02,-0.05900000000000001,0.21333333333333332
0.0775,275.0,0.02,-0.0615,0.2064516129032258
0.08,300.0,0.02,-0.064,0.2
0.05,0.0,0.04,-0.018000000000000002,0.64
0.052500000000000005,25.0,0.04,-0.020500000000000004,0.6095238095238095
0.055,50.0,0.04,-0.023,0.5818181818181818
0.0575,75.0,0.04,-0.025500000000000002,0.5565217391304348
0.060000000000000005,100.0,0.04,-0.028000000000000004,0.5333333333333333
0.0625,125.0,0.04,-0.0305,0.512
0.065,150.0,0.04,-0.033,0.4923076923076923
0.0675,175.0,0.04,-0.035500000000000004,0.47407407407407404
0.07,200.0,0.04,-0.038000000000000006,0.45714285714285713
0.07250000000000001,225.0,0.04,-0.04050000000000001,0.4413793103448275
0.07500000000000001,250.0,0.04,-0.04300000000000001,0.42666666666666664
0.0775,275.0,0.04,-0.0455,0.4129032258064516
0.08,300.0,0.04,-0.048,0.4
0.05,0.0,0.06,-0.0020000000000000018,0.96
0.052500000000000005,25.0,0.06,-0.004500000000000004,0.9142857142857143
0.055,50.0,0.06,-0.006999999999999999,0.8727272727272728
0.0575,75.0,0.06,-0.009500000000000001,0.8347826086956521
0.060000000000000005,100.0,0.06,-0.012000000000000004,0.7999999999999999
0.0625,125.0,0.06,-0.014499999999999999,0.768
0.065,150.0,0.06,-0.017,0.7384615384615385
0.0675,175.0,0.06,-0.019500000000000003,0.711111111111111
0.07,200.0,0.06,-0.022000000000000006,0.6857142857142856
0.07250000000000001,225.0,0.06,-0.024500000000000008,0.6620689655172413
0.07500000000000001,250.0,0.06,-0.02700000000000001,0.6399999999999999
0.0775,275.0,0.06,-0.0295,0.6193548387096774
